Time,ASL,GForce,TrueHeight,VerticalSpeed
13451.45860214685,11502.450897977076,1.5514039722222494e-05,-1.0,-57.03924096048972
13451.478602146846,11501.309822019888,1.551920781832563e-05,-1.0,-57.06835565592912
13451.51860214684,11499.025923309207,1.5540355188065344e-05,-1.0,-57.126585966607585
13451.538602146837,11497.883100565581,1.55478581140303e-05,-1.0,-57.1557015976647
13451.57860214683,11495.59570763461,1.5558584940018476e-05,-1.0,-57.213933815085355
13451.598602146827,11494.451138092729,1.556519366809499e-05,-1.0,-57.24305039439803
13451.63860214682,11492.16025120084,1.558150682599066e-05,-1.0,-57.30128450535638
13451.658602146817,11491.013934393704,1.558956528051068e-05,-1.0,-57.33040202584443
13451.678602146814,11489.867035215837,1.559782874793952e-05,-1.0,-57.35951987156848
13451.718602146808,11487.571489906288,1.557253626778933e-05,-1.0,-57.41775649115796
13451.758602146801,11485.273614868725,1.5500300893923337e-05,-1.0,-57.4759943738867
13451.778602146798,11484.123803780705,1.5468440872741138e-05,-1.0,-57.505113799033246
13451.798602146795,11482.973410463717,1.5434099150082443e-05,-1.0,-57.53423353967479
13451.838602146789,11480.670876605087,1.5367810000604073e-05,-1.0,-57.592473981365494
13451.858602146785,11478.366012637503,1.5380406753248008e-05,-1.0,-57.6507156952829
13451.898602146779,11477.212707005092,1.5385891753442298e-05,-1.0,-57.67983701880283
13451.918602146776,11476.058819278347,1.5394237035394305e-05,-1.0,-57.70895865455397
13451.95860214677,11473.74929607936,1.5411970058607225e-05,-1.0,-57.76720289004261
13451.978602146766,11472.593660666927,1.541854039696638e-05,-1.0,-57.79632548754535
13451.998602146763,11471.437443008239,1.542553901167025e-05,-1.0,-57.82544840616575
13452.038602146757,11467.964712524059,1.4710743192789963e-05,-1.0,-57.91281872797521
13452.058602146753,11467.964712524059,1.4710743192789963e-05,-1.0,-57.91281872797521
13452.098602146747,11465.646452344634,1.4819034733684533e-05,-1.0,-57.97106706960174
13452.118602146744,11464.486448684998,1.486632637920353e-05,-1.0,-58.00019173913062
13452.158602146737,21001.319814795774,0.0,-1.0,1.3070180983584052
13452.198602146731,23633.423540021002,0.0,-1.0,1.2764328019006064
13452.218602146728,23633.42340829465,0.0,-1.0,1.2764328015385211
13452.258602146721,23633.423408294737,0.0,-1.0,1.2764328015385213
13452.278602146718,23633.423408294708,0.0,-1.0,1.2764328015385262
13452.318602146712,23633.423408294708,0.0,-1.0,1.276432801538516
13452.338602146709,23633.423408294708,0.0,-1.0,1.2764328015385216
13452.378602146702,23633.423408294708,0.0,-1.0,1.2764328015385207
13452.398602146699,23633.423408294737,0.0,-1.0,1.2764328015382884
13452.418602146696,23633.423408294737,0.0,-1.0,1.2764328015382884
13452.45860214669,23633.42340829468,0.0,-1.0,1.2764328015385273
13452.498602146683,23633.423408294708,0.0,-1.0,1.2764328015385211
13452.51860214668,23633.423408294708,0.0,-1.0,1.2764328015385218
13452.558602146673,23633.423408294737,0.0,-1.0,1.276432801538516
13452.57860214667,23633.423408294708,0.0,-1.0,1.2764328015385318
13452.618602146664,23633.423408294737,0.0,-1.0,1.2764328015385211
13452.63860214666,23633.423408294737,0.0,-1.0,1.276432801538527
13452.658602146657,12633.426317483216,0.0,-1.0,1.4119136781526014
13452.698602146651,12633.426145604346,0.0,-1.0,1.4119136793023017
13452.718602146648,12633.454095791036,0.0,-1.0,1.383107994744477
13452.758602146641,12633.508267881029,0.0,-1.0,1.3254966479385208
13452.798602146635,12633.560135512904,0.0,-1.0,1.267885329863038
13452.818602146632,12633.585205224168,0.0,-1.0,1.2390796812226563
13452.858602146625,12633.633616123378,0.0,-1.0,1.1814684038883951
13452.878602146622,12633.656957460975,0.0,-1.0,1.152662774910663
13452.918602146616,12633.701911789976,0.0,-1.0,1.0950515355309185
13452.938602146613,12633.723524767382,0.0,-1.0,1.0662459248163727
13452.978602146606,12633.765022391803,0.0,-1.0,1.0086347205609647
13452.998602146603,12633.784907008609,0.0,-1.0,0.9798291267090334
13453.0186021466,12633.822947762848,0.0,-1.0,0.9222179547773903
13453.038602146597,12633.841104197461,0.0,-1.0,0.893412376387351
13453.07860214659,12633.858684372884,0.0,-1.0,0.8646068028350659
13453.098602146587,12633.892116481322,0.0,-1.0,0.8069956696218457
13453.13860214658,12633.907968294894,0.0,-1.0,0.7781901096497091
13453.158602146577,12633.923244087258,0.0,-1.0,0.749384553907406
13453.198602146571,12633.952067190374,0.0,-1.0,0.6917734544186652
13453.238602146565,12633.978585938748,0.0,-1.0,0.6341623699391565
13453.258602146561,12633.990981146519,0.0,-1.0,0.6053568329263859
13453.298602146555,12634.014043228293,0.0,-1.0,0.5477457685909254
13453.318602146552,12634.034800805384,0.0,-1.0,0.4901347161098497
13453.358602146545,12634.044315456325,0.0,-1.0,0.4613291939364331
13453.378602146542,12634.053253936378,0.0,-1.0,0.43252367426694127
13453.398602146539,12634.061616305,0.0,-1.0,0.40371815694550195
13453.438602146533,12634.076612826233,0.0,-1.0,0.34610712868284965
13453.478602146526,12634.089304900437,0.0,-1.0,0.2884961079317875
13453.498602146523,12634.094786769798,0.0,-1.0,0.2596905999752359
13453.51860214652,12634.104022231884,0.0,-1.0,0.2020795881362436
13453.558602146513,12634.110953186202,0.0,-1.0,0.14446858066851076
13453.57860214651,12634.110953186202,0.0,-1.0,0.14446858066851076
13453.618602146504,12634.1155796916,0.0,-1.0,0.08685757634121782
13453.658602146497,12634.117901807273,0.0,-1.0,0.029246573895313266
13453.678602146494,12634.118198666518,0.0,-1.0,0.0004410729835931937
13453.718602146488,12634.117064047343,0.0,-1.0,-0.05716992898925077
13453.738602146484,12634.115632688045,0.0,-1.0,-0.08597543035372468
13453.778602146478,12634.111041452037,0.0,-1.0,-0.1435864346526206
13453.798602146475,12634.10788157527,0.0,-1.0,-0.17239193788441848
13453.838602146468,12634.094945624995,0.0,-1.0,-0.2588084538321741
13453.878602146462,12634.08948135568,0.0,-1.0,-0.28761396173220344
13453.938602146452,12634.068769214937,0.0,-1.0,-0.37403034786757877
13453.978602146446,12634.052079465968,0.0,-1.0,-0.43164167056119185
13453.998602146443,12634.042870571022,0.0,-1.0,-0.4604467976633402
13454.038602146436,12634.022724082228,0.0,-1.0,-0.5180570439234693
13454.058602146433,12634.00084972792,0.0015527654508907497,-1.0,-0.5756658636899903
13454.098602146427,12633.989048561081,0.0014716995163282448,-1.0,-0.6044713669030762
13454.118602146424,12633.976671219716,0.0013912181159697506,-1.0,-0.6332795534374589
13454.158602146417,12633.950187776441,0.0012291239451952603,-1.0,-0.6908923306290556
13454.178602146414,12633.936081974563,0.0011472430501523344,-1.0,-0.7196958681328753
13454.218602146408,12633.906141756132,0.0009843763094196472,-1.0,-0.7773075046418662
13454.238602146404,12633.873897379905,0.0008211484779026262,-1.0,-0.8349189637103718
13454.278602146398,12633.856911063485,0.0007390479871936967,-1.0,-0.8637232269010657
13454.298602146395,12633.83934857513,0.0006572869389630167,-1.0,-0.8925291799441989
13454.338602146388,12633.802494954842,0.0004937604616795096,-1.0,-0.950142053890527
13454.358602146385,12633.783204180218,0.00041177596104291384,-1.0,-0.9789480813555134
13454.378602146382,12633.763336723583,0.0003295851342014963,-1.0,-1.0077534144796525
13454.418602146376,12633.721874749637,0.00016527092488026818,-1.0,-1.0653653535528127
13454.438602146372,12633.678107780725,2.7589693367652463e-06,-1.0,-1.122983289187339
13454.478602146366,12633.655359823257,2.9602879846387597e-06,-1.0,-1.1517885848574982
13454.498602146363,12633.632036081428,3.007069367706038e-06,-1.0,-1.1805944311342071
13454.538602146356,12633.583659921744,2.717766910643593e-06,-1.0,-1.238208646767907
13454.57860214635,12633.532978979958,3.2528121119547954e-06,-1.0,-1.2958204107024707
13454.598602146347,12633.506774958601,2.9485359446707067e-06,-1.0,-1.3246256867360016
13454.618602146344,12633.479994403839,2.9027809089518856e-06,-1.0,-1.3534308687094743
13454.658602146337,12633.424704782083,2.9984393108651828e-06,-1.0,-1.411043028284687
13454.69860214633,12633.367110691528,3.483932376084769e-06,-1.0,-1.4686555658419589
13454.718602146328,12633.337449618237,4.31865314639835e-06,-1.0,-1.4974655955716734
13454.738602146324,12633.307212310057,4.771323608976402e-06,-1.0,-1.5262740642029593
13454.778602146318,12633.245009168779,5.367478504850215e-06,-1.0,-1.583888132464104
13454.818602146312,12633.180501142924,4.579871029981804e-06,-1.0,-1.6414972835611157
13454.838602146308,12633.147383327567,4.03093218758792e-06,-1.0,-1.6703033645583312
13454.858602146305,12633.113689158927,2.8333848441388773e-06,-1.0,-1.699108203695852
13454.898602146299,12633.044572501472,3.5550844585463687e-06,-1.0,-1.7567227507601164
13454.918602146296,12632.973151317885,3.0533783523846738e-06,-1.0,-1.8143353234515482
13454.95860214629,12632.936576384935,5.586825331781332e-06,-1.0,-1.843151116267451
13454.978602146286,12632.899425189913,5.8155965264815714e-06,-1.0,-1.8719587950797778
13455.01860214628,12632.82339468706,6.087816089521977e-06,-1.0,-1.9295707435360898
13455.038602146276,12632.784514961852,6.497192211144356e-06,-1.0,-1.9583808131748803
13455.07860214627,12632.705027576012,7.202564176709762e-06,-1.0,-2.0159943285954984
13455.098602146267,12632.664419858775,4.70986953086327e-06,-1.0,-2.044790797823016
13455.13860214626,12632.581476188818,2.4828074230561927e-06,-1.0,-2.102400262777396
13455.158602146257,12632.539140175504,1.8916076020725802e-06,-1.0,-2.13120597831845
13455.178602146254,12632.496227508062,2.035287535000507e-06,-1.0,-2.1600128249765174
13455.218602146248,12632.408674835722,3.015332459486524e-06,-1.0,-2.2176268784840336
13455.258602146241,12632.3188178727,1.3987185572838155e-06,-1.0,-2.2752302642021354
13455.278602146238,12632.273025273375,1.249072400537761e-06,-1.0,-2.3040365317407994
