Time,ASL,GForce,TrueHeight,VerticalSpeed
16315.739162401893,2636.7761602507962,0.001521701449991091,4.065319,-0.004209392441093307
16315.75916240189,2636.776075379923,0.0015517625690944549,4.065261,-0.004186252175875538
16315.779162401886,2636.775991174858,0.001587719589229589,4.065207,-0.004164540404452577
16315.799162401883,2636.7759083004203,0.00163046261092853,4.065139,-0.004107235820697053
16315.81916240188,2636.775825026736,0.001657668921590297,4.065097,-0.004109702812920002
16315.839162401877,2636.775742509635,0.001675588914688276,4.06504,-0.004076298458882022
16315.859162401874,2636.7756610967335,0.0016991933626083805,4.064997,-0.004023908028600864
16315.87916240187,2636.7755818997393,0.0017058881065045769,4.064914,-0.0039738567607159325
16315.899162401867,2636.77550680656,0.0018362350136603223,4.064856,-0.0037199996190762086
16315.919162401864,2636.7754341271066,0.0019470171932339734,4.0648,-0.0035732262140744098
16315.93916240186,2636.775362662738,0.001995664695288323,4.064761,-0.0035151992939095322
16315.959162401858,2636.7752898805484,0.0019504568299177417,4.064718,-0.003561139566060856
16315.979162401854,2636.7752150279703,0.0018470444155566038,4.064664,-0.003675169838696757
16315.999162401851,2636.7751366064185,0.0017269006818251128,4.064608,-0.003860941327512357
16316.019162401848,2636.774972080748,0.0016131169459537458,4.064497,-0.004112759377005837
16316.039162401845,2636.774972080748,0.0016131169459537458,4.064497,-0.004112759377005837
16316.059162401842,2636.774888231419,0.0016026317595554812,4.064446,-0.004152011253253818
16316.079162401838,2636.774804901128,0.0016097939248675328,4.064394,-0.004118198505174586
16316.099162401835,2636.774722670176,0.0016200517933409504,4.064354,-0.004058005748084348
16316.119162401832,2636.7746413745917,0.0016336612277689949,4.064316,-0.004001028943743101
16316.139162401829,2636.78081119954,0.08131374998425611,4.070536,0.30853119856784206
16316.159162401826,2636.8118819796946,0.24050397724305236,4.101733,0.9329269045167763
16316.179162401822,2636.8118819796946,0.24050397724305236,4.101733,0.9329269045167763
16316.19916240182,2636.8367882781313,0.3201058950522584,4.126733,1.2451888107001816
16316.219162401816,2636.8679406060837,0.3997304062988867,4.158005,1.557479551826671
16316.239162401813,2636.9053395677474,0.4793535897569415,4.195524,1.8698009628283603
16316.25916240181,2636.9489858447923,0.5589786828329172,4.239329,2.182148877373008
16316.279162401806,2636.9988797004917,0.6386115795463556,4.289361,2.494525159095928
16316.299162401803,2637.0550220526056,0.7182034709792829,4.345681,2.806932429499832
16316.3191624018,2637.1174129377177,0.7978294798253358,4.408252,3.119367687396781
16316.339162401797,2637.186053540616,0.877483838200637,4.477121,3.4318347051435065
16316.359162401794,2637.260943948204,0.9571693600158081,4.552203,3.7443310909992573
16316.37916240179,2637.34208522315,1.036878005209709,4.633593,4.056858387591857
16316.399162401787,2637.4294776111783,1.116611165264899,4.721239,4.369413392659323
16316.419162401784,2637.623018466431,1.2760733442538477,4.915333,4.994619858902359
16316.43916240178,2637.623018466431,1.2760733442538477,4.915333,4.994619858902359
16316.459162401778,2637.7291680968774,1.3557953185053835,5.021781,5.307266731961319
16316.479162401774,2637.8415712663264,1.4355084513826848,5.134499,5.619947882711535
16316.499162401771,2637.960228588985,1.5152217395523673,5.253503,5.932653990279325
16316.519162401768,2638.2163076726138,1.595000684751704,5.510279,6.558150107450157
16316.539162401765,2638.2163076726138,1.595000684751704,5.510279,6.558150107450157
16316.559162401762,2638.3537307985243,1.5951587779120293,5.648087,6.8709443108414785
16316.579162401758,2638.4974102409033,1.5953070009018444,5.792166,7.183765518946814
16316.599162401755,2638.647346942016,1.595455162155673,5.942517,7.496615960917017
16316.619162401752,2638.803540873836,1.5956039680525964,6.099138,7.809497204773385
16316.639162401749,2638.9659933278454,1.5957531830537586,6.262053,8.12241153475987
16316.659162401746,2639.134703956661,1.5958950285012592,6.431215,8.435322725853576
16316.679162401742,2639.309673017706,1.5960357453492575,6.60665,8.748259179807789
16316.69916240174,2639.4909017667233,1.5961792802963555,6.788368,9.061237704297692
16316.719162401736,2639.678389700828,1.5963205759700874,6.976395,9.374235298799173
16316.739162401733,2639.8721382787335,1.5964605842082158,7.170674,9.68726278723101
16316.75916240173,2640.2784199121525,1.5967476404617196,7.578064,10.313420445381585
16316.779162401726,2640.2784199121525,1.5967476404617196,7.578064,10.313420445381585
16316.799162401723,2640.490954207926,1.5968887702656116,7.791192,10.626534735750532
16316.81916240172,2640.7097515235073,1.5970315506943438,8.010579,10.939688515310792
16316.839162401717,2640.934812296182,1.5971735305628647,8.236258,11.252868451003241
16316.859162401714,2641.1661370444926,1.5973178061044233,8.468216,11.566085763151733
16316.87916240171,2641.4037267242675,1.597458707687481,8.706444,11.879323672313944
16316.899162401707,2641.6475818268664,1.5975998284821653,8.950965,12.192586950195887
16316.919162401704,2642.1540898836975,1.597885329408341,9.458848,12.819208860772301
16316.9391624017,2642.1540898836975,1.597885329408341,9.458848,12.819208860772301
16316.959162401698,2642.416744776565,1.5980289910005232,9.722209,13.132568889044785
16316.979162401694,2642.6856665667146,1.5981702576648986,9.991858,13.445946104876532
16316.999162401691,2642.960856728547,1.5983117346833984,10.26778,13.759352984906563
16317.019162401688,2643.2423157534795,1.5984526645453854,10.55001,14.072788969568713
16317.039162401685,2643.5300441058935,1.5985923396020332,10.8385,14.386252180973033
16317.059162401682,2643.8240418128553,1.5987435028745427,11.13329,14.699757785587247
16317.079162401678,2644.1243108131457,1.598896678850139,11.43437,15.013294999397965
16317.099162401675,2644.430850642413,1.5990429148371348,11.74174,15.326846673128614
16317.119162401672,2644.7436622564273,1.5991963253759058,12.05538,15.640445270449984
