Time,ASL,GForce,TrueHeight,VerticalSpeed
13735.379514250657,52687.80930254515,0.07798217641912723,-1.0,-1.1427479932862394
13735.399514250654,52687.786243696086,0.0727841202631099,-1.0,-1.163144174657345
13735.41951425065,52687.762776868825,0.0675861807947301,-1.0,-1.1835320320469305
13735.439514250647,52687.7389022728,0.06238696350822163,-1.0,-1.203925902189252
13735.459514250644,52687.71461969355,0.05718681210684055,-1.0,-1.224319699592648
13735.479514250641,52687.68992935578,0.05199077151417062,-1.0,-1.2447083403984573
13735.499514250638,52687.66483101429,0.046788804903692804,-1.0,-1.265109117078612
13735.519514250635,52687.639325169584,0.04159231834873695,-1.0,-1.2855044365291661
13735.539514250631,52687.61341158158,0.03639106796380694,-1.0,-1.3059031205103304
13735.559514250628,52687.58708951509,0.03119161881469209,-1.0,-1.3262967789147175
13735.579514250625,52687.56035968487,0.025992802888928645,-1.0,-1.3466892712317242
13735.599514250622,52687.50567629433,0.015593866792329061,-1.0,-1.3874799020085695
13735.619514250619,52687.50567629433,0.015593866792329061,-1.0,-1.3874799020085695
13735.639514250615,52687.47772248884,0.010392671914745267,-1.0,-1.4078784116266927
13735.659514250612,52687.44936116482,0.005195300361485525,-1.0,-1.4282721849660427
13735.679514250609,52687.420591617585,3.967682180353963e-06,-1.0,-1.4486654960736591
13735.699514250606,52687.39141430662,4.072632895678343e-06,-1.0,-1.4690581497114967
13735.719514250603,52687.36182925245,3.0615064037386588e-06,-1.0,-1.4894479964274172
13735.7395142506,52687.331836434576,4.095808252462759e-06,-1.0,-1.5098371990328445
13735.759514250596,52687.301435842906,3.0106274538835875e-06,-1.0,-1.5302298893600002
13735.779514250593,52687.27062752834,4.434764494503683e-06,-1.0,-1.5506277767422953
13735.79951425059,52687.23941097013,2.9903245970543255e-06,-1.0,-1.571017791419298
13735.819514250587,52687.20778665849,5.165800723857559e-06,-1.0,-1.591414693406845
13735.839514250583,52687.17575410314,5.5868740876657225e-06,-1.0,-1.6118103048239178
13735.85951425058,52687.14331428459,5.457405833327093e-06,-1.0,-1.6322034451478933
13735.879514250577,52687.11046622234,6.4006548683560805e-06,-1.0,-1.652596061945016
13735.899514250574,52687.07721040666,4.443073266012076e-06,-1.0,-1.672988359213801
13735.939514250567,52687.009271025454,1.8179527119140054e-06,-1.0,-1.7137687583780008
13735.959514250564,52686.974587480305,2.4189202291740825e-06,-1.0,-1.7341671781690347
13735.97951425056,52686.93949640641,2.713238234928201e-06,-1.0,-1.754559934115734
13735.999514250558,52686.9039973442,2.589708588127276e-06,-1.0,-1.7749533230685435
13736.019514250554,52686.8680905285,2.1267648589478044e-06,-1.0,-1.7953478454330474
13736.039514250551,52686.83177546912,2.4459117761180706e-06,-1.0,-1.8157406116299724
13736.059514250548,52686.79525666582,2.9828928710075788e-06,-1.0,-1.8361340833387945
13736.079514250545,52686.75833008863,3.5904055074475325e-06,-1.0,-1.8565218271117698
13736.099514250542,52686.72099601329,3.508153449473527e-06,-1.0,-1.8769153397534988
13736.119514250538,52686.683253694326,2.8553016620086714e-06,-1.0,-1.897308471838644
13736.139514250535,52686.645103856776,2.5882897879912786e-06,-1.0,-1.9176998845723516
13736.159514250532,52686.56757947107,3.164342006135021e-06,-1.0,-1.9584859412301079
13736.179514250529,52686.52820588299,2.364416869576067e-06,-1.0,-1.9788799148817011
13736.23951425052,52686.44782693722,2.014868861678939e-06,-1.0,-2.019671479104319
13736.259514250516,52686.40702607928,4.101661426416176e-06,-1.0,-2.0400543713322814
13736.279514250513,52686.3658172024,5.2506373140967996e-06,-1.0,-2.060442662241287
13736.29951425051,52686.324200806965,4.855438803695642e-06,-1.0,-2.0808363731763437
13736.319514250506,52686.28217594314,2.4705711404218788e-06,-1.0,-2.1012394534710297
